"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DESIGNER";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HOUSEPART";"MANUFACTURER_PART_NUMBER";"MF";"MFG";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"POPULATE";"PROD_ID";"REV";"SF_ID";"SUPPLIER";"TOLERANCE";"URL";"VALUE";"VENDOR";"VOLTAGE";
"C1";"0.1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"YES";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"";"";"MF-CAP-0805-1uF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"C4";"10nF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"No";"";"";"";"";"08051C103K4T2A";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"C5";"10nF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"No";"";"";"";"";"08051C103K4T2A";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"C6";"0.1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"Yes";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"Yes";"";"";"";"";"MF-CAP-0805-0.1uF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"470uF";"CAPACITOR_P_10MM";"CP10MM";"Library:  MF_Passives";"";"";"";"";"1";"";"";"";"";"MF-CAP-10MM-470uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"C11";"10pF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"No";"";"";"";"";"C0805C100JDGACTU‎";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"C12";"8.2pF";"CAP0805";"0805@1";"Capacitor";"";"";"";"";"No";"";"";"";"";"C0805C829D5GACTU‎";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";
"D1";"BAT42";"DIODES_BAT42_SOD-123";"SOD-123";"Library:  MF_Discrete_Semiconductor";"";"";"";"";"YES";"";"";"";"";"MF-DIO-SOD123-BAT42";"";"";"";"";"1";"";"";"";"";"";"https://factory.macrofab.com/part/MF-DIO-SOD123-BAT42";"MF-DIO-SOD123-BAT42";"";"";
"D2";"BAT42";"DIODES_BAT42_SOD-123";"SOD-123";"Library:  MF_Discrete_Semiconductor";"";"";"";"";"YES";"";"";"";"";"MF-DIO-SOD123-BAT42";"";"";"";"";"1";"";"";"";"";"";"https://factory.macrofab.com/part/MF-DIO-SOD123-BAT42";"MF-DIO-SOD123-BAT42";"";"";
"D3";"6.2V/500mW";"DIODE-ZENER-DZ2J150M0L";"PANASONIC_SMINI2-F5-B";"Zener Diode";"";"";"";"";"";"";"";"";"";"TDZ6V2J,115";"";"";"";"";"1";"DIO-12989";"";"";"";"";"";"15V";"";"";
"F1";"63V/1.5A";"PPTC_HALF-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"";"";"";"";"";"046801.5NR";"";"";"";"";"";"RES-08585";"";"";"";"";"";"6V/0.5A";"";"";
"F2";"6V/0.5A";"PPTC_HALF-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"";"";"";"";"";"0466.500NR";"";"";"";"";"";"RES-08585";"";"";"";"";"";"6V/0.5A";"";"";
"F3";"6V/0.5A";"PPTC_HALF-AMP";"1206";"Resettable Fuse PPTC";"";"";"";"";"";"";"";"";"";"0466.500NR";"";"";"";"";"";"RES-08585";"";"";"";"";"";"6V/0.5A";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"FRAME3";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"G1";"D5V0L4B5TS";"D5V0L4B5TS";"SOT-23-5";"4 CHANNEL LOW CAPACITANCE BI-DIRECTIONAL TVS ARRAY";"";"";"";"";"";"";"";"";"";"D5V0L4B5TS-7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
